K,Method,a_avg_blk,a_max_blk,a_med_blk,a_min_blk,a_std_dev,alice_num_recs,assess_time,b_avg_blk,b_max_blk,b_med_blk,b_min_blk,b_std_dev,bob_num_recs,dbo_time,lu_time,num_blocks,num_cand_rec_pairs,num_ref_val,pc,pq,rr,tot_time
100,k-nn,99.0,709,136,1,75.0,461167,,100.0,680,48,1,74.0,461167,40008.8768,0.0337,4596,,4611.67,0.9999,0.0032,0.9997,
100,snc-3p,214.13934049999997,1613,159,101,130.01939579999998,461167,,213.35122630000004,1592,116,101,129.8934964,461167,1.8317582609999998,0.058614254000000005,2153,138530971.0,4611.67,0.999757137,0.0016640829999999998,0.999348626,
100,hlsh,2.224114366,736,1,1,5.389219678,461167,,2.226227337,777,1,1,5.398124206,461167,547.7377167000001,12.41582322,5646891,209821408.0,4611.67,1.0,0.0010989489999999999,0.999013418,
100,snc-2p,110.83008889999999,180,101,101,10.19352364,461167,,110.7770838,193,108,101,10.47256156,461167,3.742628336,7096.3911370000005,207724,116664518.0,4611.67,0.999991326,0.001976445,0.999451442,
3,p3-sig,3.0,4908,1,1,53.38356078964761,461167,,3.0,4908,1,1,53.38356078964761,461167,20.440675973892212,6.398167610168457,253015,100.0,,0.9935988481396111,,0.9966037025292847,26.83884358406067
