Method,alice_num_recs,bob_num_recs,num_ref_val,K,dbo_time,lu_time,rr,pc,pq,a_min_blk,a_med_blk,a_max_blk,a_avg_blk,a_std_dev,b_min_blk,b_med_blk,b_max_blk,b_avg_blk,b_std_dev,num_blocks,num_cand_rec_pairs
snn_sim,461167,461167,4611.67,100,1.831758261,0.058614254,0.999348626,0.999757137,0.001664083,101,159,1613,214.1393405,130.0193958,101,116,1592,213.3512263,129.8934964,2153,138530971
kasn,461167,461167,4611.67,100,2.717382669,0.061138153,0.999450058,1,0.001971488,100,232,946,201.5590035,90.14194817,100,115,918,201.3829694,89.77536045,2288,116958866
hlsh_clust,461167,461167,4611.67,100,547.7377167,12.41582322,0.999013418,1,0.001098949,1,1,736,2.224114366,5.389219678,1,1,777,2.226227337,5.398124206,5646891,209821408
snc2p,461167,461167,4611.67,100,3.742628336,7096.391137,0.999451442,0.999991326,0.001976445,101,101,180,110.8300889,10.19352364,101,108,193,110.7770838,10.47256156,207724,116664518
knn,461167,461167,4611.67,100,40008.8768,0.0337,0.9997,0.9999,0.0032,1,136,709,99,75,1,48,680,100,74,4596,
