K,Method,a_avg_blk,a_max_blk,a_med_blk,a_min_blk,a_std_dev,alice_num_recs,assess_time,b_avg_blk,b_max_blk,b_med_blk,b_min_blk,b_std_dev,bob_num_recs,dbo_time,lu_time,num_blocks,num_cand_rec_pairs,num_ref_val,pc,pq,rr,tot_time
3,k-nn,99.8181818181818,527,68.0,3,69.79634455121216,46116,,99.8181818181818,511,109.5,3,69.38543965790696,46116,286.55983304977417,0.0018630027770996094,462,6817846,461.16,1.0,0.003382006575097179,0.9967941446250244,
3,snc-3p-sim,107.26340326340326,568,130.0,4,97.07845618888292,46116,,107.19114219114219,574,56.0,4,97.7331928490842,46116,0.10011601448059082,0.00314021110534668,429,8984138,461.16,0.9976147107294648,0.002560401454207404,0.9957755210227948,
100,snc-3p-size,197.0769230769231,568,156.5,100,78.84173846298596,46116,,200.50434782608696,574,228.5,104,79.24298064242922,46116,0.18239378929138186,0.004684209823608398,234,11012234,461.16,1.0,0.0020938530728642343,0.9948218792915844,
100,hlsh,1.3159850982865309,80,1.0,1,1.229248684722054,46116,,1.3148885120469431,83,2.0,1,1.2206358308620726,46116,38.20414733886719,1.468991994857788,838118,2148332,461.16,1.0,0.010732977956852107,0.9989898214642232,
100,snc-2p,111.07228915662651,164,103.0,101,10.668931510654623,46116,,110.80528846153848,157,107.5,101,10.310472220843714,46116,0.2347769737243653,22.5720808506012,20783,11722501,461.16,0.9994362043542372,0.001965877418137989,0.9944879008943578,
100,hclust,136.38744588744592,484,71.0,36,68.44623205276602,46116,,135.75108225108224,456,82.0,26,68.44652816208757,46116,8580.181478261948,0.016034841537475586,462,6709309,461.16,1.0,0.0034367175516882586,0.9968451803810144,
3,lambda-LSH,4.0,7891,1.0,1,59.35780896639876,46116,,4.0,7891,1.0,1,59.35780896639876,46116,53.97456693649292,8.287493228912354,24549,100,,1.0,,0.9592512904268434,62.26206016540527
3,p-sig,3.0,914,1.0,1,26.540618774095847,46116,,3.0,914,1.0,1,26.540618774095847,46116,3.814255952835083,0.9734230041503906,40174,100,,0.9994362043542372,,0.9867306535997677,4.787678956985474
