K,Method,a_avg_blk,a_max_blk,a_med_blk,a_min_blk,a_std_dev,alice_num_recs,assess_time,b_avg_blk,b_max_blk,b_med_blk,b_min_blk,b_std_dev,bob_num_recs,dbo_time,lu_time,num_blocks,num_cand_rec_pairs,num_ref_val,pc,pq,rr,tot_time
100,snn_sim,260,6760,915,101,224.0,4611676,,260,6811,418,101,224.0,4611676,�41.6677,1.1219,17686,2123992435,46116.76,0.9999961,�0.00108561,0.99990013,
100,kasn,201,1025,229,100,87.0,4611676,,201,992,121,100,87.0,4611676,256.12,�1.1887,22895,1155374137,46116.76,1.0,0.00199575,0.99994567,
3,p-sig,3,4840,1,1,28.863486398808835,4611676,,3,4840,1,1,28.863486398808835,4611676,384.1362478733063,29.409214973449707,993088,100,,0.6927767692266326,,0.9999606627883086,413.545462846756
