Method,alice_num_recs,bob_num_recs,num_ref_val,K,dbo_time,lu_time,rr,pc,pq,a_min_blk,a_med_blk,a_max_blk,a_avg_blk,a_std_dev,b_min_blk,b_med_blk,b_max_blk,b_avg_blk,b_std_dev,num_blocks,num_cand_rec_pairs
knn,46116,46116,461.16,3,286.55983304977417,0.0018630027770996094,0.9967941446250244,1.0,0.003382006575097179,3,68.0,527,99.8181818181818,69.79634455121216,3,109.5,511,99.8181818181818,69.38543965790696,462,6817846
psig,46116,46116,461.16,100,0.2275259494781494,0.001528024673461914,0.9714462019624588,0.9998265244166884,0.0003796462761836581,10,38.0,687,81.121053880845,110.2157156614296,10,43.0,687,80.40018988844054,108.63020768771405,4016,60724947
snn_sim,46116,46116,461.16,3,0.10011601448059082,0.00314021110534668,0.9957755210227948,0.9976147107294648,0.002560401454207404,4,130.0,568,107.26340326340326,97.07845618888292,4,56.0,574,107.19114219114219,97.7331928490842,429,8984138
kasn,46116,46116,461.16,100,0.18239378929138184,0.0046842098236083984,0.9948218792915844,1.0,0.0020938530728642343,100,156.5,568,197.07692307692307,78.84173846298596,104,228.5,574,200.50434782608696,79.24298064242922,234,11012234
hlsh_clust,46116,46116,461.16,100,38.20414733886719,1.468991994857788,0.9989898214642232,1.0,0.010732977956852107,1,1.0,80,1.315985098286531,1.229248684722054,1,2.0,83,1.3148885120469431,1.2206358308620726,838118,2148332
snc2p,46116,46116,461.16,100,0.23477697372436526,22.5720808506012,0.9944879008943578,0.9994362043542372,0.001965877418137989,101,103.0,164,111.07228915662651,10.668931510654623,101,107.5,157,110.80528846153848,10.310472220843714,20783,11722501
hclust,46116,46116,461.16,100,8580.181478261948,0.016034841537475586,0.9968451803810144,1.0,0.0034367175516882586,36,71.0,484,136.38744588744592,68.44623205276602,26,82.0,456,135.75108225108224,68.44652816208757,462,6709309
