K,Method,a_avg_blk,a_max_blk,a_med_blk,a_min_blk,a_std_dev,alice_num_recs,assess_time,b_avg_blk,b_max_blk,b_med_blk,b_min_blk,b_std_dev,bob_num_recs,dbo_time,lu_time,num_blocks,num_cand_rec_pairs,num_ref_val,pc,pq,rr,tot_time
3,k-nn,98.10638298,221,111,18,45.18295388,4611,,98.10638298,230,41,16,46.22389271,4611,3.358897924,4.70E-05,47,548875,46.11,1,0.004199499,0.974184342,
3,snc-3p,98.25,422,70,5,88.13216444,4611,,98.31818182,430,67.5,5,88.15811537,4611,0.010044813,0.000213861,44,764761,46.11,0.937527115,0.002825719,0.96403041,
100,hlsh,1.056993037,10,1,1,0.298426144,4611,,1.058892423,10,1,1,0.307330845,4611,4.186846972,0.080177069,92880,23302,46.11,1,0.098918548,0.998904019,
100,snc-2p,112.2195122,134,129,101,8.93748531,4611,,112.1219512,218,118,101,18.93273732,4611,0.021700144,0.209252834,2078,1142353,46.11,0.996963124,0.002011637,0.946270836,
100,hclust,119,237,121,53,41.10805688,4611,,117.6382979,244,106,53,42.45469452,4611,32.58128524,0.001260042,47,533612,46.11,1,0.004319618,0.974902218,
3,p3-sig,1,61,1,1,3.842449749,4611,,1,61,1,1,3.842449749,4611,0.242984056,0.093039036,5011,100,,1,,0.995949499,0.336023092
3,lambda-LSH,2,791,1,1,12.74524908,4611,,2,791,1,1,12.74524908,4611,5.706392765,0.419972181,5480,100,,1,,0.957291506,6.126364946
