Method,alice_num_recs,bob_num_recs,num_ref_val,K,dbo_time,lu_time,rr,pc,pq,a_min_blk,a_med_blk,a_max_blk,a_avg_blk,a_std_dev,b_min_blk,b_med_blk,b_max_blk,b_avg_blk,b_std_dev,num_blocks,num_cand_rec_pairs
knn,4611,4611,46.11,3,3.3588979244232178,4.696846008300781e-05,0.9741843416032334,1.0,0.004199498975176497,18,111.0,221,98.1063829787234,45.18295387598857,16,41.0,230,98.1063829787234,46.22389270853248,47,548875
psig,4611,4611,46.11,3,0.08149194717407227,0.0003008842468261719,0.9267253431712921,0.9913232104121475,0.0014667029544596756,1,23.0,184,35.46252285191956,45.66678417423553,1,12.5,182,36.16970802919708,46.343198013349635,521,1557916
snn_sim,4611,4611,46.11,3,0.01004481315612793,0.00021386146545410156,0.9640304099637083,0.937527114967462,0.0028257194077626864,5,70.0,422,98.25,88.13216444120108,5,67.5,430,98.31818181818181,88.15811537110535,44,764761
hlsh_clust,4611,4611,46.11,100,4.186846971511841,0.08017706871032715,0.9989040191811224,1.0,0.09891854776414041,1,1.0,10,1.0569930370497722,0.2984261441933743,1,1.0,10,1.0588924228680345,0.3073308451380726,92880,23302
snc2p,4611,4611,46.11,100,0.021700143814086914,0.20925283432006836,0.946270836134782,0.9969631236442517,0.0020116373835408143,101,129.0,134,112.21951219512195,8.93748530988921,101,118.0,218,112.1219512195122,18.932737322801632,2078,1142353
hclust,4611,4611,46.11,100,32.58128523826599,0.0012600421905517578,0.9749022179760138,1.0,0.004319617999595212,53,121.0,237,119.0,41.10805687971072,53,106.0,244,117.63829787234043,42.454694516207084,47,533612
