,dbo_time,lu_time,rr,pc,pq,num_cand_rec_pairs
knn,0.43276381492614746,2.2172927856445312e-05,0.9338060075512045,1.0,0.004285454692295267,198112.0
psig,0.005048990249633789,9.512901306152344e-05,0.9961111296735607,0.9034157832744405,0.06589913222785462,11639.0
snn_sim,0.003072023391723633,7.724761962890625e-05,0.910819272277724,0.9434628975265018,0.0030010228205118597,266909.0
hlsh_clust,1.4486792087554932,0.04039502143859863,0.9987627384810719,1.0,0.2292735619767756,3703.0
snc2p,0.006713151931762695,0.02201986312866211,0.8715406461959971,0.9764428739693758,0.0021562374826382567,384466.0
hclust,4.259679079055786,0.0005049705505371094,0.9344201276354038,1.0,0.004325585660861856,196274.0
